time_stamp,value,flag,mrr_30s,mhr_30s,sdrr_30s,sdhr_30s,cvrr_30s,rmsd_30s,prr20_30s,prr50_30s,reaction_time
1569294274276,1,31,549.4493950737847,117.55259513263701,141.33476755664083,33.55824756802158,25.72298173841127,147.56646904221424,71.69811320754717,54.716981132075475,1856
1569294275446,1,31,549.6345802589699,117.53144750483497,141.5554879819423,33.581518357258226,25.754472710804688,149.34582656412073,75.47169811320755,58.490566037735846,1170
1569294276234,-1,31,550.0049551504629,117.47883840319165,141.82231607752038,33.62168016646836,25.78564333819912,148.99799128152497,75.47169811320755,56.60377358490566,788
1569294277545,1,31,540.7321422230114,119.74949015870195,143.41025119003078,34.221672314339045,26.521495578282977,160.1345110089664,75.92592592592592,57.407407407407405,1311
1569294279271,1,31,537.4593883167614,120.78406080296988,146.27881347022077,34.70545290160669,27.216719374526715,168.67281596772176,81.48148148148148,62.96296296296296,1726
1569294279880,1,31,534.5502663352273,121.35223857528771,145.7918601182398,34.509907233158714,27.273741928473903,169.33574904462677,83.33333333333333,64.81481481481481,609
1569294281098,1,31,536.004833984375,121.1500120665176,147.0286693708779,34.687548518656385,27.430474512318284,167.44418574858767,85.18518518518519,64.81481481481481,1218
1569294281681,1,31,540.0048650568182,120.05061992679155,145.4126220124375,34.31995444216642,26.928020731283134,167.99625959787068,87.03703703703704,66.66666666666667,583
1569294282391,1,31,544.4493453414352,119.09443932928389,145.97453512626862,34.29756176605645,26.811407962062116,166.4517128376793,88.67924528301887,67.9245283018868,710
1569294282995,1,31,543.8937897858797,119.18556211277966,145.73845124783682,34.24363365262751,26.79538799389697,166.77445976281803,88.67924528301887,67.9245283018868,604
1569294283604,1,31,542.4122992621528,119.39037283013892,144.523115121346,34.072306248843226,26.644512913505423,166.548035371678,88.67924528301887,66.0377358490566,609
1569294284234,1,31,544.0049050071023,118.95122507653294,143.66501803751143,33.91209648190657,26.408772552452596,165.00432926793962,87.03703703703704,64.81481481481481,630
1569294284833,1,31,543.4594415838068,119.03780499199408,143.38913280130095,33.85646488477364,26.384514064825375,165.049215910959,88.88888888888889,64.81481481481481,599
1569294285585,1,31,545.5604700159143,118.51682432139505,142.87830220861082,33.76366867235658,26.189269578941996,163.50674429686882,88.67924528301887,64.15094339622641,752
1569294286271,1,31,554.5332952535377,116.20052249987523,140.02279211132856,32.8509315495131,25.250565351050536,164.1894946978664,88.46153846153847,65.38461538461539,686
1569294287096,1,31,553.3383156105324,116.63666082125376,141.23574844267063,33.267638666551925,25.52430302731458,166.48005550206287,86.79245283018868,66.0377358490566,825
1569294287804,1,31,560.382407134434,115.16862171712366,141.74812979944042,33.142622825835,25.29489291505104,166.60795124723882,86.53846153846153,65.38461538461539,708
1569294288400,1,31,558.8729593528891,115.37729735168286,140.6544459724476,32.988055794997045,25.16751680655821,166.05297714033733,86.53846153846153,65.38461538461539,596
1569294289019,1,31,554.7219791052477,115.85551224267427,135.3441705719783,32.519064044116305,24.398559218851393,164.56389187910378,84.61538461538461,63.46153846153846,619
1569294289769,1,31,556.2314268867924,115.6802699063921,137.2016566180093,32.695321661141215,24.66628996242124,159.65255191595838,84.61538461538461,63.46153846153846,750
1569294290375,1,31,560.571086379717,114.45439885438589,134.4862248773945,31.956604232657536,23.990931417090046,161.38375921458697,86.53846153846153,65.38461538461539,606
1569294291308,1,31,566.5435697115385,113.15240566962953,134.25129162145902,31.615798757771973,23.69655200390227,160.28311989040344,86.27450980392157,66.66666666666667,933
1569294292010,1,31,562.8352557488207,114.07709266164092,135.6673792722866,32.02583002665699,24.104278807444068,165.3508446317556,86.53846153846153,67.3076923076923,702
1569294292946,1,31,578.4365856694241,110.83846429328078,137.0906358093767,31.173283025345352,23.70020140595392,170.45396648430415,88.0,68.0,936
1569294293760,1,31,571.1589918870193,112.34719071323642,138.17784819832852,31.33226032517176,24.19253660733077,177.412264619605,90.19607843137256,70.58823529411765,814
1569294294401,1,31,570.7743671123798,112.40018051763442,137.92491140255513,31.29525984072546,24.1645244337679,176.81441393276145,90.19607843137256,70.58823529411765,641
1569294295061,1,31,575.9667217548077,111.18986158713967,136.05573997197675,30.875181868072463,23.622152953117393,176.73122280440367,88.23529411764706,70.58823529411765,660
1569294295709,1,31,585.2993929993872,108.83039384330755,131.0027873012302,29.390276952218212,22.38218403574653,178.37209096428774,86.0,72.0,648
1569294296318,1,31,594.6053564453125,106.45130004325236,124.7083351865269,27.590210437726522,20.973294948444796,179.36565815276435,87.75510204081633,71.42857142857143,609
1569294297130,1,31,586.205283203125,108.39965344164602,128.6026316051069,28.70096512757041,21.938156357513588,178.95557927394864,89.79591836734694,71.42857142857143,812
1569294299411,1,31,591.40533203125,107.0714242133057,125.09722531646865,27.69536577337456,21.152535924356272,174.23468686515923,89.79591836734694,69.38775510204081,2281
1569294300154,1,31,581.1817028569241,109.30211395625,127.96442413175427,28.6779375187988,22.017971918716217,174.66707087320967,90.0,72.0,743
1569294300844,1,31,579.2209041819852,109.58222310280253,126.86872768014501,28.512217934982523,21.903340636387696,177.79372347886408,90.0,72.0,690
1569294301609,1,31,579.2209041819852,109.66825118499736,127.65453655803505,28.73190155200241,22.03900716227039,179.04921799337558,90.0,72.0,765
1569294302226,1,31,583.40525390625,108.61840292545854,125.36775612574442,28.018050250141517,21.48896590943117,179.41689751465782,89.79591836734694,71.42857142857143,617
1569294302810,1,31,585.4954714307598,108.7028802533545,131.55068726389368,28.916922473450466,22.468267251056055,196.92320888868113,90.0,72.0,584
1569294303498,1,31,585.8876282935049,108.65045385890028,131.80680998278524,28.95223163626197,22.496943717124473,200.17185927593695,90.0,72.0,688
1569294304235,1,31,581.805244140625,109.67790321382012,134.4341691991387,29.560443098982706,23.106386639348568,204.45245526824718,89.79591836734694,71.42857142857143,737
1569294304944,1,31,578.4365856694241,110.19150913837707,133.4984179037787,29.224564741793746,23.079179500598343,203.26533614689168,90.0,72.0,709
1569294305566,1,31,577.6522623697916,110.30651044968505,133.12658666118884,29.158631151014568,23.046146502576338,199.20533730303768,90.0,72.0,622
1569294306656,1,31,580.7895555683211,109.1373736265449,128.839761654131,27.441003205358577,22.18355347799896,194.94289529365142,88.0,72.0,1090
1569294307229,1,31,570.9666841947115,111.32446879317735,131.13893398190058,28.342857390050348,22.96787844405637,192.7833551728696,88.23529411764706,70.58823529411765,573
1569294308018,1,31,574.0436354417068,110.94271997794499,134.1545183111538,28.674435403619068,23.370090708858136,200.9652974646444,88.23529411764706,70.58823529411765,789
1569294310105,1,31,576.4757774203431,110.04852934568625,129.93695412665008,27.687780370450348,22.5398809830487,196.86225926973225,88.0,72.0,2087
1569294310779,1,31,570.3897564227765,111.24245698036158,129.94784084683226,27.766600027557384,22.782288669033196,196.15609582241285,88.23529411764706,72.54901960784314,674
1569294311455,1,31,572.1205397385818,110.98362068551612,130.81072299868768,27.91966658102988,22.86418925956737,199.44231641386713,88.23529411764706,72.54901960784314,676
1569294312489,1,31,567.1204927884615,111.95763856029511,130.7957367310653,27.904272574367475,23.06313003925476,202.71396360817053,88.23529411764706,74.50980392156863,1034
1569294313133,1,31,567.6974252554087,111.8717444921305,131.09939666721604,27.95875008133787,23.093181479242055,202.88316888315595,90.19607843137256,76.47058823529412,644
